date,min_temp,max_temp,rainfall_mm,wind_kmh
2026-04-01,6.1,13.4,0.0,18.2
2026-04-02,7.3,12.8,4.6,33.5
03/04/2026,5.9,11.2,0.0,12.0
2026-04-04,8.0,,2.1,25.4
2026-04-05,high,14.9,0.0,9.8
2026-04-06,12.5,9.0,1.2,41.0
2026-04-07,6.4,15.2,-3.0,22.7
2026-04-02,6.8,13.1,0.4,19.9
2026-04-09,7.7,16.3,0.0

2026-04-10,8.2,17.0,0.0,14.1,extra
2026-02-30,5.0,10.0,0.0,10.0
2026-04-12,4.9,75.0,0.0,8.3
2026-04-13,9.1,18.4,6.2,47.3
2026-04-14,10.2,19.8,0.0,-5.0
2026-04-15,8.8,16.1,1.0,28.6
2026-04-16,20.0,15.0,-2.0,30.0
