date,min_temp,max_temp,rainfall_mm,wind_kmh
2026-03-01,3.8,8.7,1.2,30.7
2026-03-02,4.2,8.5,0.0,7.7
2026-03-03,4.7,9.1,0.0,25.5
2026-03-04,6.9,11.6,0.0,34.9
2026-03-05,7.6,15.1,0.0,50.9
2026-03-06,3.3,12.5,0.0,12.6
2026-03-07,3.8,9.7,2.7,32.8
2026-03-08,6.6,12.8,0.0,8.9
2026-03-09,3.9,9.1,6.1,20.5
2026-03-10,6.7,13.4,0.0,42.5
2026-03-11,7.5,13.0,7.4,46.3
2026-03-12,7.8,13.5,1.8,25.2
2026-03-13,8.1,13.0,0.0,7.8
2026-03-14,7.9,16.5,12.3,20.4
2026-03-15,8.2,15.8,6.5,44.6
2026-03-16,9.6,16.4,1.0,38.3
2026-03-17,8.3,18.3,4.1,23.7
2026-03-18,8.6,12.7,0.0,13.7
2026-03-19,6.0,10.4,2.0,17.4
2026-03-20,7.6,16.8,0.0,26.7
2026-03-21,8.5,17.8,12.1,18.8
2026-03-22,8.0,14.2,13.4,12.9
2026-03-23,7.0,12.4,0.0,28.3
2026-03-24,9.3,14.9,0.0,25.3
2026-03-25,8.3,15.7,9.7,29.7
2026-03-26,9.8,17.9,0.0,47.4
2026-03-27,10.8,20.0,5.6,24.4
2026-03-28,7.6,15.4,0.0,9.1
2026-03-29,8.3,13.3,0.0,8.4
2026-03-30,7.4,12.3,0.0,22.7
2026-03-31,7.7,16.9,2.2,17.6
