date,min_temp,max_temp,rainfall_mm,wind_kmh,avg_temp,temp_range,day_type,wind
2026-03-01,3.8,8.7,1.2,30.7,6.2,4.9,Wet,Breezy
2026-03-02,4.2,8.5,0.0,7.7,6.3,4.3,Dry,Calm
2026-03-03,4.7,9.1,0.0,25.5,6.9,4.4,Dry,Breezy
2026-03-04,6.9,11.6,0.0,34.9,9.2,4.7,Dry,Breezy
2026-03-05,7.6,15.1,0.0,50.9,11.3,7.5,Dry,Windy
2026-03-06,3.3,12.5,0.0,12.6,7.9,9.2,Dry,Calm
2026-03-07,3.8,9.7,2.7,32.8,6.8,5.9,Wet,Breezy
2026-03-08,6.6,12.8,0.0,8.9,9.7,6.2,Dry,Calm
2026-03-09,3.9,9.1,6.1,20.5,6.5,5.2,Wet,Breezy
2026-03-10,6.7,13.4,0.0,42.5,10.1,6.7,Dry,Windy
2026-03-11,7.5,13.0,7.4,46.3,10.2,5.5,Wet,Windy
2026-03-12,7.8,13.5,1.8,25.2,10.7,5.7,Wet,Breezy
2026-03-13,8.1,13.0,0.0,7.8,10.6,4.9,Dry,Calm
2026-03-14,7.9,16.5,12.3,20.4,12.2,8.6,Wet,Breezy
2026-03-15,8.2,15.8,6.5,44.6,12.0,7.6,Wet,Windy
2026-03-16,9.6,16.4,1.0,38.3,13.0,6.8,Wet,Breezy
2026-03-17,8.3,18.3,4.1,23.7,13.3,10.0,Wet,Breezy
2026-03-18,8.6,12.7,0.0,13.7,10.6,4.1,Dry,Calm
2026-03-19,6.0,10.4,2.0,17.4,8.2,4.4,Wet,Calm
2026-03-20,7.6,16.8,0.0,26.7,12.2,9.2,Dry,Breezy
2026-03-21,8.5,17.8,12.1,18.8,13.2,9.3,Wet,Calm
2026-03-22,8.0,14.2,13.4,12.9,11.1,6.2,Wet,Calm
2026-03-23,7.0,12.4,0.0,28.3,9.7,5.4,Dry,Breezy
2026-03-24,9.3,14.9,0.0,25.3,12.1,5.6,Dry,Breezy
2026-03-25,8.3,15.7,9.7,29.7,12.0,7.4,Wet,Breezy
2026-03-26,9.8,17.9,0.0,47.4,13.8,8.1,Dry,Windy
2026-03-27,10.8,20.0,5.6,24.4,15.4,9.2,Wet,Breezy
2026-03-28,7.6,15.4,0.0,9.1,11.5,7.8,Dry,Calm
2026-03-29,8.3,13.3,0.0,8.4,10.8,5.0,Dry,Calm
2026-03-30,7.4,12.3,0.0,22.7,9.9,4.9,Dry,Breezy
2026-03-31,7.7,16.9,2.2,17.6,12.3,9.2,Wet,Calm
